section,description,unitPrice,unitPriceNumber,exampleFile,row
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Bicycle Mini Low-Loader,185.00,185.0,Q Trojan Electric & Bicycle Banking-Rig 2026.xlsx,15
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Bicycle Hydraulic Banking-Rig,600.00,600.0,Q Trojan Electric & Bicycle Banking-Rig 2026.xlsx,16
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Fork Attachments,288.00,288.0,Q Trojan Electric & Bicycle Banking-Rig 2026.xlsx,17
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Motorcycle Mini Low-Loader,225.00,225.0,Q Trojan Electric and Motorcycle Banking Rig or Mini Low Loader 2026.xlsx,14
Labour Rates - Daily Rates (2 Man Crew),To Services of Driver/Technician per 10hr Cont. Day (call to Wrap),585.00,585.0,Q Trojan Electric and Motorcycle Banking Rig or Mini Low Loader 2026.xlsx,21
Labour Rates - Daily Rates (2 Man Crew),Overtime Charged @ 1.5T (Inc. Pre-Calls & Call Times Prior to 07:00),87.75,87.75,Q Trojan Electric and Motorcycle Banking Rig or Mini Low Loader 2026.xlsx,22
Labour Rates - Daily Rates (2 Man Crew),Sunday and Bank Holiday Work charged at Double Time,585.00,585.0,Q Trojan Electric and Motorcycle Banking Rig or Mini Low Loader 2026.xlsx,23
Labour Rates - Daily Rates (2 Man Crew),Turnaround Day After Night Work Chargeable from 23:59,585.00,585.0,Q Trojan Electric and Motorcycle Banking Rig or Mini Low Loader 2026.xlsx,24
Labour Rates - Daily Rates (2 Man Crew),Supplementary charge for Late Working between 22:00 & 23:59,292.50,292.5,Q Trojan Electric and Motorcycle Banking Rig or Mini Low Loader 2026.xlsx,25
Labour Rates - Daily Rates (2 Man Crew),Supplementary charge applies for Saturday working,292.50,292.5,Q Trojan Electric and Motorcycle Banking Rig or Mini Low Loader 2026.xlsx,26
Labour Rates - Daily Rates (2 Man Crew),"Commercials - Sundays, Night Work charged at 2T / Saturday Charged 1.5T - APA",585.00,585.0,Q Trojan Electric and Motorcycle Banking Rig or Mini Low Loader 2026.xlsx,27
Labour Rates - Daily Rates (2 Man Crew),Recce Charge per man,585.00,585.0,Q Trojan Electric and Motorcycle Banking Rig or Mini Low Loader 2026.xlsx,28
Travel Charges,London Congestion-ULEZ Charge per vehicle (Recce & Shoot),30.00,30.0,Q Trojan Electric and Motorcycle Banking Rig or Mini Low Loader 2026.xlsx,39
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Twizzy Electric Tracking Vehicle,630.00,630.0,Q Twizzy Electric 2026.xlsx,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Trojan Electric Tracking Vehicle,680.00,680.0,PB Q Trojan 4  Electric in Trailer  2026.xlsx,13
Travel Charges,Transport Van £180 / 4x4 and Trailer £225,225.00,225.0,PB Q Trojan 4  Electric in Trailer  2026.xlsx,30
Travel Charges,Transport Vehicle Mileage (Miles),1.40,1.4,PB Q Trojan 4  Electric in Trailer  2026.xlsx,31
Travel Charges,Transport Van £180 / 4x4 and Trailer £225,180.00,180.0,PB Q Trojan Electric 2026.xlsx,30
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Atlas E-Bike Tracking Motorcycle,550.00,550.0,Q Atlas E-Bike Motorcycle 2026.xlsx,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Remote Head Mounts,195.00,195.0,Q Atlas E-Bike Motorcycle 2026.xlsx,14
Travel Charges,Transport Vehicle,185.00,185.0,Q Atlas E-Bike Motorcycle 2026.xlsx,30
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Bandit Camera Tracking Motorcycle,550.00,550.0,Q Bandit Elite Motorcycle  2026.xlsx,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Remote Head Mount - Post Rig or Scaffold Rig,195.00,195.0,Q Bandit Elite Motorcycle  2026.xlsx,14
Labour Rates - Daily Rates,To Services of Driver/Technician per 12hr day (10hrs Continuous),585.00,585.0,Q Bandit Elite Motorcycle  2026.xlsx,20
Travel Charges,Overnight Meal Allowance - per man per night,35.00,35.0,Q Bandit Elite Motorcycle  2026.xlsx,40
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Can Am Maverick Elite Tracking Vehicle,950.00,950.0,Q Can Am Maverick 2026.xlsx,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),HD Monitors,260.00,260.0,Q Can Am Maverick 2026.xlsx,14
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),"Crane Mount, Remote Head Mount - Post Rig or Scaffold Rig",195.00,195.0,Q Can Am Maverick 2026.xlsx,15
Labour Rates - Daily Rates,To Services of Driver/Technician per,585.00,585.0,Q Can Am Maverick 2026.xlsx,21
Labour Rates - Daily Rates,"Commercials - Sundays, Night Work charged at 2T / Saturday Charged 1.5T - APA",292.50,292.5,Q Can Am Maverick 2026.xlsx,27
Travel Charges,Covered Transport Vehicle,300.00,300.0,Q Can Am Maverick 2026.xlsx,31
Travel Charges,Transport Vehicle Mileage (Miles) Subject to Tracking Mileage,1.55,1.55,Q Can Am Maverick 2026.xlsx,32
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Dominator Electric Tracking Quad,600.00,600.0,Q Dominator Quad Electric 2026.xlsx,13
Travel Charges,Congestion Charge/Clean air zone charge where applicable,30.00,30.0,Q Dominator Quad Electric 2026.xlsx,36
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Electric Mountain Bike - Bicycle Tracking Vehicle,500.00,500.0,Q Electric Bicycle  2026.xlsx,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Rigging and Prep Work charged,95.00,95.0,Q Electric Bicycle  2026.xlsx,15
Labour Rates - Daily Rates,To Services of Driver/Technician per 10hr Day,585.00,585.0,Q Electric Bicycle  2026.xlsx,19
Labour Rates - Daily Rates,Supplementary charge applies for Saturdays,292.50,292.5,Q Electric Bicycle  2026.xlsx,21
Labour Rates - Daily Rates,Supplementary charge applies for Late Working Between 22:00 & 23:59,292.50,292.5,Q Electric Bicycle  2026.xlsx,23
Travel Charges,Recce Mileage,0.66,0.66,Q Electric Bicycle  2026.xlsx,40
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Enduromax Elite Tracking Motorcycle,600.00,600.0,Q Enduromax Elite Off Road Motorcycle 2026.xlsx,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),E-Trike - Tricycle Tracking Vehicle,500.00,500.0,Q E-Trike Tricycle Tracking Vehicle 2026.xlsx,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Pre-Rigging and Prep Work charged,,,Q E-Trike Tricycle Tracking Vehicle 2026.xlsx,15
Labour Rates - Daily Rates,Commercials - Night Work and Sundays Charged at 2T / Saturdays Charged at 1.5T - APA,585.00,585.0,Q E-Trike Tricycle Tracking Vehicle 2026.xlsx,25
Travel Charges,Transport Vehicle,105.00,105.0,Q E-Trike Tricycle Tracking Vehicle 2026.xlsx,29
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Panther Elite Tracking Vehicle,600.00,600.0,Q Panther 2026.xlsx,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Trojan Elite Petrol Powered Tracking Vehicle,600.00,600.0,Q Petrol Powered Trojan 2026.xlsx,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Racing Quad Elite Tracking Vehicle - For Higher Speed use or for more Off Road Use,600.00,600.0,Q Racing Quad  2026.xlsx,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Rubicon Tracking Quad,600.00,600.0,Q Rubicon Quad 2026.xlsx,13
