section,description,unitPrice,unitPriceNumber,exampleFile,row
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Motorcycle Mini Low Loader,250.00,250.0,PB Q Silverado Elite Motorcle Banking 2026.xls,18
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),"Universal ""A"" Frame (Car Towing Frame)",150.00,150.0,PB Q Silverado Elite Motorcle Banking 2026.xls,19
Labour Rates - Daily Rates - 2 x Crew,To Services of Driver/Technician per 10hr Cont. Day (Call to Wrap),585.00,585.0,PB Q Silverado Elite Motorcle Banking 2026.xls,25
Labour Rates - Daily Rates - 2 x Crew,Overtime Charged @ 1.5T (Inc. Pre-Calls & Call Times Prior to 07:00),87.75,87.75,PB Q Silverado Elite Motorcle Banking 2026.xls,26
Labour Rates - Daily Rates - 2 x Crew,Sunday and Bank Holiday Work charged at Double Time,585.00,585.0,PB Q Silverado Elite Motorcle Banking 2026.xls,27
Labour Rates - Daily Rates - 2 x Crew,Turnaround Day After Night Work Chargeable from 23:59,585.00,585.0,PB Q Silverado Elite Motorcle Banking 2026.xls,28
Labour Rates - Daily Rates - 2 x Crew,Supplementary charge for Late Working between 22:00 & 23:59,292.50,292.5,PB Q Silverado Elite Motorcle Banking 2026.xls,29
Labour Rates - Daily Rates - 2 x Crew,Supplementary charge applies for Saturday working,292.50,292.5,PB Q Silverado Elite Motorcle Banking 2026.xls,30
Labour Rates - Daily Rates - 2 x Crew,"Commercials - Sundays, Night Work charged at 2T / Saturday Charged 1.5T - APA",585.00,585.0,PB Q Silverado Elite Motorcle Banking 2026.xls,31
Labour Rates - Daily Rates - 2 x Crew,Recce Charge per man,585.00,585.0,PB Q Silverado Elite Motorcle Banking 2026.xls,32
Travel Charges,Tracking Vehicle Mileage (Miles) Subject to Tracking Mileage,1.70,1.7,PB Q Silverado Elite Motorcle Banking 2026.xls,35
Travel Charges,Overnight Meal Allowance,28.00,28.0,PB Q Silverado Elite Motorcle Banking 2026.xls,42
Travel Charges,Breakfast/Lunch not Supplied on location per man,18.00,18.0,PB Q Silverado Elite Motorcle Banking 2026.xls,44
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Pulse Elite Tracking Vehicle - Fully Electric and Silent (Rear Wheel Drive),700.00,700.0,Pulse Elite Fully Electric Tracking Vehicle 2026.xls,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),5K Generator including Fuel,180.00,180.0,Pulse Elite Fully Electric Tracking Vehicle 2026.xls,15
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),"""A"" Frame Car Towing Frame - Only small vehicles can be towed by the Explorer",125.00,125.0,Pulse Elite Fully Electric Tracking Vehicle 2026.xls,16
Labour Rates - Daily Rates,To Services of Driver/Technician per 10hr Cont. day (Call to Wrap),585.00,585.0,Pulse Elite Fully Electric Tracking Vehicle 2026.xls,22
Labour Rates - Daily Rates,Overtime Charged @ 1.5T (Inc. Pre-Calls & Call Times Prior to 07:00),87.75,87.75,Pulse Elite Fully Electric Tracking Vehicle 2026.xls,23
Labour Rates - Daily Rates,Sunday and Bank Holiday Work charged at Double Time,585.00,585.0,Pulse Elite Fully Electric Tracking Vehicle 2026.xls,24
Labour Rates - Daily Rates,Turnaround Day After Night Work Chargeable from 23:59,585.00,585.0,Pulse Elite Fully Electric Tracking Vehicle 2026.xls,25
Labour Rates - Daily Rates,Supplementary charge for Late Working between 22:00 & 23:59,292.50,292.5,Pulse Elite Fully Electric Tracking Vehicle 2026.xls,26
Labour Rates - Daily Rates,Supplementary charge applies for Saturday working,292.50,292.5,Pulse Elite Fully Electric Tracking Vehicle 2026.xls,27
Labour Rates - Daily Rates,"Commercials Sundays, Night Work charged at 2T / Saturday Charged 1.5T - APA",585.00,585.0,Pulse Elite Fully Electric Tracking Vehicle 2026.xls,28
Labour Rates - Daily Rates,Recce Charge per man,585.00,585.0,Pulse Elite Fully Electric Tracking Vehicle 2026.xls,29
Travel Charges,Transport vehicle and Trailer,225.00,225.0,Pulse Elite Fully Electric Tracking Vehicle 2026.xls,32
Travel Charges,Tracking Vehicle Mileage (Miles) Subject to Tracking Mileage,1.25,1.25,Pulse Elite Fully Electric Tracking Vehicle 2026.xls,33
Travel Charges,Clean air zone charge where applicable,TBC,,Pulse Elite Fully Electric Tracking Vehicle 2026.xls,38
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Audi RS4 Tracking Vehicle,755.00,755.0,Q Audi RS 4 Film 2026.xls,13
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Comms Kit 5 x Head sets with 3 helmets (Hard Wired),200.00,200.0,Q Audi RS 4 Film 2026.xls,15
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Remote Head mounts - Post Rigs - 2x Available Unit Price,185.00,185.0,Q Audi RS 4 Film 2026.xls,16
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Pre-Rigging & Additional Equipment,95.00,95.0,Q Audi RS 4 Film 2026.xls,17
Labour Rates - Daily Rates,Stunt Interactive Driving (Higher Speed Choreographed Driving and or Braking Traction),175.00,175.0,Q Audi RS 4 Film 2026.xls,23
Labour Rates - Daily Rates,"Commercials - Sundays, Night Work charged at 2T / Saturday Charged 1.5T - APA",585.00,585.0,Q Audi RS 4 Film 2026.xls,28
Travel Charges,Overnight,35.00,35.0,Q Audi RS 4 Film 2026.xls,41
Equipment - Daily Rates (Optional Equipment Charged if Used or Booked),Cheyenne Elite Tracking Vehicle,700.00,700.0,Q Cheyenne Elite Tracking Vehicle & Air Ride Compact Process Trailer 2026.xls,13
