"file","sheet","row","section","description","qty","unitPrice","total","totalFormula","qtyFormula","unitPriceFormula","isSectionOrHeader"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","15","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Remote Head mounts - Post Rigs - 2x Available                             Unit Price","","180.00","TBC","","","","False"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","16","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Basic Riggers Scaffolding  Kit","","95.00","TBC","","","","False"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","17","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Pre-Rigging & Additional Equipment","","","TBC","","","","False"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","18","Equipment - Daily Rates       (Optional Equipment Charged if Used or Booked)","Equipment Discount","Less","0.0%","0.00","=SUM(G13:G17)*F18","","","True"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","20","Labour Rates - Daily Rates (2 Man crew required if Transport Vehicle needs to Moved to Different locations)","Labour Rates - Daily Rates (2 Man crew required if Transport Vehicle needs to Moved to Different locations)","","","","","","","True"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","21","Labour Rates - Daily Rates (2 Man crew required if Transport Vehicle needs to Moved to Different locations)","To Services of Driver/Technician per 10hr day  (Call to Wrap)","1","585.00","585.00","=E21*F21","","","False"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","22","Labour Rates - Daily Rates (2 Man crew required if Transport Vehicle needs to Moved to Different locations)","Overtime Charged @ 1.5T (Inc. Pre-Calls & Call Times Prior to 07:00)","","87.75","TBC","","","","False"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","23","Labour Rates - Daily Rates (2 Man crew required if Transport Vehicle needs to Moved to Different locations)","Stunt Interactive Driving (Higher Speed Choreographed Driving and or Braking Traction)","","150.00","TBC","","","","False"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","24","Labour Rates - Daily Rates (2 Man crew required if Transport Vehicle needs to Moved to Different locations)","Sunday and Bank Holiday Work charged at Double Time","","585.00","TBC","","","","False"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","25","Labour Rates - Daily Rates (2 Man crew required if Transport Vehicle needs to Moved to Different locations)","Turnaround Day After Night Work Chargeable from 23:59","","585.00","TBC","","","","False"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","26","Labour Rates - Daily Rates (2 Man crew required if Transport Vehicle needs to Moved to Different locations)","Supplementary charge for Late Working between 22:00 & 23:59","","292.50","TBC","","","","False"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","27","Labour Rates - Daily Rates (2 Man crew required if Transport Vehicle needs to Moved to Different locations)","Supplementary charge applies for Saturday working","","292.50","TBC","","","","False"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","28","Labour Rates - Daily Rates (2 Man crew required if Transport Vehicle needs to Moved to Different locations)","Commercials - Sundays, Night Work charged at 2T /  Saturday Charged 1.5T - APA","","585.00","TBC","","","","False"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","29","Labour Rates - Daily Rates (2 Man crew required if Transport Vehicle needs to Moved to Different locations)","Recce Charge per man","","585.00","TBC","","","","False"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","31","Travel Charges","Travel Charges","","","","","","","True"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","32","Travel Charges","Transport Vehicle 4x4 and Covered Trailer","1","225.00","225.00","=E32*F32","","","False"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","33","Travel Charges","Tracking Vehicle Mileage (Miles) Subject to Tracking Mileage","95","1.55","147.25","=E33*F33","","","False"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","34","Travel Charges","Tracking Vehicle and Crew Travel Days","","585.00","TBC","","","","False"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","35","Travel Charges","Tracking Vehicle and Crew Travel Time","","58.50","TBC","","","","False"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","36","Travel Charges","London and Home Counties Fixed Travel Charge","1","185.00","185.00","=E36*F36","","","False"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","37","Travel Charges","London Congestion-ULEZ  Charge per vehicle","","30.00","-","=E37*F37","","","False"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","38","Travel Charges","Clean air zone charge where applicable","TBC","","TBC","","","","False"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","39","Travel Charges","Travel Meal Allowance per man per day","","22.00","TBC","","","","True"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","40","Travel Charges","Hotel Per Man Per Room","TBC","","Production","","","","True"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","41","Travel Charges","Overnights","","35.00","TBC","","","","False"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","42","Travel Charges","Breakfast/Lunch not Supplied on location per man","","22.00","TBC","","","","False"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","43","Travel Charges","Recce Travel Time/Travel Day (When recce is outside the London area)","","58.50","TBC","","","","False"
"PB Q Mini Cooper 2026.xls","Bickers Action Quote","44","Travel Charges","Recce Mileage  (Inc On Location Recce Mileage, Location to Location Moves)","","0.68","TBC","","","","False"
